id,clip name,instrument,instrument_label,tempo,beat frames sum,beat frames mean,beat frames variance,beat frames standard deviation,cent mean,cent variance,cent standard deviation,bandwidth mean,bandwidth variance,bandwidth standard deviation,rolloff mean,rolloff variance,rolloff standard deviation,zcr sum,zcr mean,rmse mean,energy,mfcc_mean 0,mfcc_mean 1,mfcc_mean 2,mfcc_mean 3,mfcc_mean 4,mfcc_mean 5,mfcc_mean 6,mfcc_mean 7,mfcc_mean 8,mfcc_mean 9,mfcc_mean 10,mfcc_mean 11,mfcc_mean 12,mfcc_mean 13,mfcc_mean 14,mfcc_mean 15,mfcc_mean 16,mfcc_mean 17,mfcc_mean 18,mfcc_mean 19,mfcc_sum 0,mfcc_sum 1,mfcc_sum 2,mfcc_sum 3,mfcc_sum 4,mfcc_sum 5,mfcc_sum 6,mfcc_sum 7,mfcc_sum 8,mfcc_sum 9,mfcc_sum 10,mfcc_sum 11,mfcc_sum 12,mfcc_sum 13,mfcc_sum 14,mfcc_sum 15,mfcc_sum 16,mfcc_sum 17,mfcc_sum 18,mfcc_sum 19,mfcc_std 0,mfcc_std 1,mfcc_std 2,mfcc_std 3,mfcc_std 4,mfcc_std 5,mfcc_std 6,mfcc_std 7,mfcc_std 8,mfcc_std 9,mfcc_std 10,mfcc_std 11,mfcc_std 12,mfcc_std 13,mfcc_std 14,mfcc_std 15,mfcc_std 16,mfcc_std 17,mfcc_std 18,mfcc_std 19,mfcc_var 0,mfcc_var 1,mfcc_var 2,mfcc_var 3,mfcc_var 4,mfcc_var 5,mfcc_var 6,mfcc_var 7,mfcc_var 8,mfcc_var 9,mfcc_var 10,mfcc_var 11,mfcc_var 12,mfcc_var 13,mfcc_var 14,mfcc_var 15,mfcc_var 16,mfcc_var 17,mfcc_var 18,mfcc_var 19
1,056__[gel][nod][jaz_blu]0794__3.wav,electric guitar,4,60.09265988,49,24.5,462.25,21.5,412.7242767,2419.652265,49.18996102,833.4785296,23239.90857,152.4464121,412.2780198,7205.651434,84.8861086,2.672363281,0.020556641,1.53674,15.38591003,-441.7802753,177.138578,49.15145343,26.75611922,30.85769975,10.88949051,-4.814925129,-11.44038348,-12.46080815,-10.18548742,-11.81762149,-15.667212,-16.46034533,-15.15842105,-14.19126411,-15.27551338,-15.66245171,-13.71058731,-12.96269759,-11.97767595,-57431.43578,23028.01514,6389.688946,3478.295499,4011.500968,1415.633767,-625.9402668,-1487.249853,-1619.90506,-1324.113365,-1536.290794,-2036.73756,-2139.844893,-1970.594736,-1844.864334,-1985.816739,-2036.118722,-1782.37635,-1685.150687,-1557.097874,30.70638039,21.58496272,12.48929679,9.330050549,6.282375081,8.01843242,7.868700317,6.004425985,6.274262367,5.348343124,4.139163822,4.571724067,6.045477829,4.879672217,6.364313802,6.383197752,4.267283243,5.598777039,4.801351556,3.588630603,942.8817967,465.9106156,155.9825342,87.04984324,39.46823665,64.29525847,61.91644467,36.05313141,39.36636825,28.60477417,17.13267714,20.90066094,36.54780219,23.81120094,40.50449017,40.74521354,18.20970628,31.34630433,23.05297676,12.8782696
2,056__[gel][nod][jaz_blu]0794__1.wav,electric guitar,4,51.6796875,77,77,0,0,406.6333045,3322.041807,57.63715648,888.0128153,24878.9024,157.7304739,370.7023738,7195.829125,84.82823307,2.690429688,0.020695613,1.25814,13.00978756,-449.931674,150.7993673,69.80932148,35.86212706,29.64982359,13.26801884,-3.414901016,-8.580702889,-9.553693671,-11.91217701,-14.79776273,-17.21983063,-17.78735787,-17.5747403,-18.20564978,-18.19138545,-15.30382302,-11.39499037,-8.807871451,-7.709395058,-58491.11761,19603.91774,9075.211792,4662.076518,3854.477067,1724.84245,-443.9371321,-1115.491376,-1241.980177,-1548.583012,-1923.709155,-2238.577982,-2312.356523,-2284.716239,-2366.734471,-2364.880108,-1989.496993,-1481.348748,-1145.023289,-1002.221358,31.42767768,18.77441788,10.10685787,10.75256604,6.460896541,5.958836781,5.684431579,5.358943242,6.213961592,4.705930488,4.788924737,6.699265884,5.976692621,4.388052502,4.104490014,4.573431691,3.785294813,4.012383784,3.791498023,3.348283769,987.6989244,352.4787665,102.148576,115.6176765,41.74318411,35.50773578,32.31276237,28.71827267,38.61331867,22.14578176,22.93380014,44.88016338,35.72085468,19.25500476,16.84683827,20.91627743,14.32845682,16.09922363,14.37545726,11.2110042
3,[vio][jaz_blu]2242__1.wav,violin,3,83.35433468,93,93,0,0,385.7904134,3574.427752,59.78651815,392.6194742,4862.424403,69.73108635,614.4416692,41510.29228,203.7407477,3.874023438,0.02980018,2.20609,21.5086174,-400.5475475,213.7751802,76.02675879,5.447244919,4.053104545,8.509566403,1.111615495,-7.195204665,-13.90164454,-14.50495038,-7.865101466,-6.016414114,-12.12304026,-14.74801333,-10.80768822,-7.157929353,-5.355129307,-3.366506545,-1.123259916,1.627414351,-52071.18117,27790.77343,9883.478643,708.1418395,526.9035908,1106.243632,144.5100143,-935.3766065,-1807.21379,-1885.643549,-1022.463191,-782.1338348,-1575.995234,-1917.241733,-1404.999469,-930.5308159,-696.1668099,-437.6458509,-146.0237891,211.5638656,17.21093052,12.27307463,10.53676033,10.49596333,8.122197846,6.571165815,8.43618864,9.247612527,10.84994727,10.47156988,13.43027777,11.3234824,10.27109233,9.395960803,6.868945687,5.635414119,6.945953342,7.604761348,10.39211901,12.80351876,296.2161295,150.6283609,111.0233182,110.1652463,65.97009785,43.18022017,71.16927878,85.51833744,117.7213558,109.6537757,180.372361,128.2212536,105.4953376,88.28407941,47.18241485,31.75789229,48.24626783,57.83239516,107.9961374,163.9300925
4,[vio][cla]2280__1.wav,violin,3,120,343,57.16666667,1104.472222,33.2336008,1204.888351,3788.959608,61.55452549,1541.067586,4083.476257,63.90208336,2427.785832,20696.56553,143.8630096,7.201660156,0.055397386,1.71163,16.0872879,-197.0733562,162.6652716,-25.38324058,31.66225338,-4.030478003,7.950671281,-1.743214506,0.348712762,-8.855287901,-1.45262526,-6.682361418,-1.356023479,-9.407872658,-5.597044925,-3.674995031,1.069466052,-5.623917578,3.210679581,-3.7648047,-4.943791831,-25619.53631,21146.48531,-3299.821275,4116.092939,-523.9621404,1033.587266,-226.6178858,45.33265911,-1151.187427,-188.8412838,-868.7069843,-176.2830523,-1223.023446,-727.6158403,-477.749354,139.0305868,-731.1092851,417.3883455,-489.424611,-642.6929381,10.81536933,5.520298302,5.29879449,3.926342339,4.626456687,4.350419324,5.256166461,3.547919545,4.52529427,5.147890668,4.447254972,5.291808147,4.562618341,4.729389959,4.480298418,5.197290723,4.412388174,3.437089989,5.166216498,5.623907388,116.9722137,30.47369335,28.07722304,15.41616417,21.40410147,18.9261483,27.62728587,12.5877331,20.47828823,26.50077833,19.77807679,28.00323346,20.81748613,22.36712938,20.07307391,27.01183086,19.4691694,11.81358759,26.6897929,31.62833431
5,[tru][pop_roc]1958__1.wav,trumpet,2,60.09265988,135,45,1014,31.84336666,843.9830157,3811.052357,61.73372139,978.5026085,32538.25723,180.383639,1008.747746,7495.272369,86.57524109,10.08935547,0.077610427,5.40092,51.78616333,-277.1801727,171.4784433,-10.51564092,4.828233609,-4.463100814,15.473814,28.01611296,17.61290083,27.20262521,11.87407459,-22.09537597,-10.27544065,9.137643479,15.54433044,19.24027233,8.712935396,0.522728107,-8.906973496,-16.70065081,-5.867599487,-36033.42245,22292.19763,-1367.033319,627.6703692,-580.2031059,2011.59582,3642.094684,2289.677107,3536.341277,1543.629696,-2872.398875,-1335.807284,1187.893652,2020.762957,2501.235403,1132.681601,67.95465384,-1157.906554,-2171.084606,-762.7879333,27.86989553,8.105328323,9.086738089,8.64214718,7.644578807,6.415881242,11.97214323,7.036202016,6.656146463,5.826576745,7.938243524,4.605997013,9.917306146,4.255216728,5.34852511,5.248803376,7.317669574,6.825615996,8.401806651,10.34021358,776.7310769,65.69634723,82.56880909,74.68670788,58.43958513,41.16353211,143.3322136,49.5081388,44.30428573,33.94899657,63.01571025,21.21520848,98.35296119,18.10686941,28.60672085,27.54993688,53.54828799,46.58903372,70.59035501,106.9200168
6,[vio][pop_roc]2208__3.wav,violin,3,71.77734375,63,31.5,342.25,18.5,925.4780111,4114.048926,64.14085224,1101.720777,9788.473355,98.93671389,1735.907452,20604.35106,143.5421578,6.010742188,0.046236478,2.56189,24.59347343,-220.0608371,193.8591729,-31.6156515,38.06544828,8.319461178,-4.303862524,-7.035015185,0.395421432,-9.112505512,4.260121071,-6.656797171,-11.33169554,-0.834436687,3.012573416,1.88270863,-4.744944932,-6.24585357,-0.897142283,6.004683482,7.006080554,-28607.90882,25201.69248,-4110.034695,4948.508276,1081.529953,-559.5021282,-914.5519741,51.40478617,-1184.625717,553.8157392,-865.3836323,-1473.120421,-108.4767693,391.634544,244.7521219,-616.8428412,-811.9609641,-116.6284967,780.6088527,910.790472,9.990570796,6.197682689,5.756390518,5.38227058,4.419712574,4.319678285,4.309268358,5.083405232,4.728062061,4.558474976,4.891549308,4.289192834,3.786607898,3.925483306,3.829125833,3.463358955,4.509683028,4.730187741,4.247822395,3.730263711,99.81150483,38.41127071,33.13603179,28.96883659,19.53385924,18.65962048,18.56979378,25.84100876,22.35457085,20.77969411,23.92725464,18.39717517,14.33839937,15.40941918,14.66220464,11.99485525,20.33724102,22.37467607,18.0439951,13.91486735
7,[gac][jaz_blu]0577__2.wav,acoustic guiar,1,80.74951172,136,68,256,16,436.1570659,4164.061526,64.52953995,408.9814754,28696.43715,169.4002277,623.0549504,14199.96546,119.163608,4.235351563,0.032579627,2.40413,24.53742599,-368.5807126,213.7682431,68.53145051,-0.881977956,1.315350828,2.726512848,-8.449411906,-13.45930207,-13.98799729,-15.39350031,-14.84738244,-14.73072199,-14.4284472,-9.717622755,-4.026641046,-2.512260022,-1.754360324,-0.403335013,-1.32574838,-2.599323226,-47915.49264,27789.8716,8909.088567,-114.6571343,170.9956076,354.4466702,-1098.423548,-1749.709269,-1818.439648,-2001.155041,-1930.159717,-1914.993859,-1875.698135,-1263.290958,-523.463336,-326.5938029,-228.0668421,-52.43355165,-172.3472894,-337.9120193,27.09303019,16.967936,12.8766587,8.678912269,8.557855259,6.585065879,5.648801869,5.155970605,4.589965093,5.190302709,6.042317105,5.692201941,5.243116584,5.660547312,7.334410329,9.179316838,9.798041452,6.812892588,11.0774411,11.56286639,734.0322851,287.9108519,165.8083392,75.32351817,73.23688664,43.36309263,31.90896255,26.58403288,21.06777956,26.93924221,36.50959599,32.40116293,27.49027152,32.04179587,53.79357487,84.25985762,96.00161629,46.41550542,122.7097014,133.6998791
8,[tru][cla]1885__2.wav,trumpet,2,60.09265988,111,55.5,420.25,20.5,1390.388899,4561.295587,67.53736437,1067.596569,5941.266894,77.079614,2316.889836,23522.95555,153.3719516,14.22363281,0.10941256,0.635836,6.057890892,-351.559737,169.8039571,-89.10979063,26.07245345,-17.19780776,-6.775016504,-17.1906651,-12.08827784,-15.0817075,-11.63129713,-5.524215287,-7.256649669,-10.93988006,-12.94953284,-8.630551051,-5.058714938,-4.814732185,-4.090281528,-3.33385845,-0.924730182,-45702.76581,22074.51443,-11584.27278,3389.418948,-2235.715009,-880.7521455,-2234.786463,-1571.476119,-1960.621976,-1512.068627,-718.1479873,-943.364457,-1422.184407,-1683.43927,-1121.971637,-657.6329419,-625.9151841,-531.7365986,-433.4015985,-120.2149237,10.48467228,10.32924742,7.305712949,9.161450973,6.892907621,5.448403457,5.41253083,4.998363361,5.721218934,6.012319509,5.585866828,6.39694952,6.190960128,7.328561426,5.834429964,9.333171887,6.723874762,7.956301861,4.660271705,5.972425847,109.9283529,106.6933523,53.37344169,83.93218394,47.51217547,29.68510023,29.29548999,24.98363629,32.73234609,36.14798588,31.20190822,40.92096316,38.32798731,53.70781257,34.040573,87.10809746,45.21049181,63.3027393,21.71813237,35.6698705
9,[tru][cla]2033__1.wav,trumpet,2,123.046875,303,75.75,546.1875,23.37065468,1055.455264,5201.505099,72.12146074,1072.312791,8644.219286,92.97429369,1984.781588,50659.96525,225.0776871,10.33203125,0.079477164,1.20095,11.20185375,-352.1211702,174.710889,-46.21408485,43.35361427,10.62611274,14.84401773,-7.168109681,1.954084678,-6.391481946,-6.34215871,-16.78705377,-18.50485741,-7.430527388,16.1306526,20.74678602,16.60777083,-0.593017245,-15.82398207,-18.71699011,-6.809494053,-45775.75212,22712.41557,-6007.831031,5635.969855,1381.394656,1929.722305,-931.8542586,254.0310081,-830.892653,-824.4806323,-2182.31699,-2405.631464,-965.9685604,2096.984837,2697.082183,2159.010207,-77.09224183,-2057.117669,-2433.208714,-885.2342269,13.85637197,13.38357882,9.653735631,7.354828896,7.358041583,6.036709249,4.762070154,4.708611168,6.469919517,4.845400687,5.244550657,5.195980473,3.829753166,7.313656639,7.769459994,6.984950087,10.75276788,11.26417991,4.546856109,11.00895612,191.9990443,179.1201821,93.19461163,54.09350809,54.14077594,36.44185856,22.67731215,22.17101914,41.85985855,23.47790781,27.5053116,26.99821308,14.66700932,53.48957343,60.36450859,48.78952772,115.622017,126.8817491,20.67390048,121.1971149
10,[gac][pop_roc]0629__2.wav,acoustic guiar,1,64.59960938,70,35,400,20,822.8141867,5428.673239,73.67953067,1453.85738,20936.93271,144.696001,969.0769606,30691.07369,175.1886803,5.239257813,0.040301983,0.522433,4.97589922,-444.4884598,161.7152833,32.66755149,17.91075144,9.617019778,-11.48147188,-17.98020696,7.324445966,-4.978118442,-19.44318126,-26.86954351,-9.973903143,-6.680418784,4.254950457,1.761537749,4.874348939,-4.131537362,-0.26402148,-7.80698572,-8.180453795,-57783.49978,21022.98683,4246.781694,2328.397688,1250.212571,-1492.591344,-2337.426905,952.1779755,-647.1553975,-2527.613563,-3493.040656,-1296.607409,-868.454442,553.1435594,228.9999073,633.6653621,-537.0998571,-34.32279244,-1014.908144,-1063.458993,17.42222883,10.10471009,8.925037763,6.561454125,6.564895196,6.035813047,9.492320446,6.140410345,12.53897673,10.06647178,9.431526734,14.83540421,9.633647231,6.411469396,6.542715275,7.007830086,8.563703664,7.636176622,6.13384539,5.902233506,303.5340575,102.105166,79.65629906,43.05268023,43.09784894,36.43103913,90.10414744,37.70463921,157.2259373,101.3338542,88.95369653,220.0892182,92.80715898,41.10693982,42.80712316,49.10968251,73.33702044,58.31119341,37.62405927,34.83636036
